request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_249,0,not_affordable,not_recommended,none,,none,Safe amount today is 0; the full amount is not safe within the requested plan.
request_250,0,not_affordable,not_recommended,none,,none,Safe amount today is 0; the full amount is not safe within the requested plan.
request_251,1513.6,not_affordable,not_recommended,none,2025-05-03,none,Safe amount today is 1513.6; the full amount is not safe within the requested plan.
request_252,3680300,not_affordable,not_recommended,none,,none,Safe amount today is 3680300; the full amount is not safe within the requested plan.
request_253,0,not_affordable,not_recommended,none,,none,Safe amount today is 0; the full amount is not safe within the requested plan.
request_254,917.6,not_affordable,not_recommended,none,,none,Safe amount today is 917.6; the full amount is not safe within the requested plan.
request_255,3345000,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,Plan full_payment completes 3345000 while maintaining the minimum balance; safe today: 3345000.
request_256,207258.28,affordable_with_plan,installments,2024-06-10:75816|2024-07-11:75816|2024-08-11:75816,2024-06-15,none,Plan installments completes 218700 while maintaining the minimum balance; safe today: 207258.28.
request_257,1003.2,affordable_later,wait,2025-11-15:1352.4,2025-11-15,none,Plan wait completes 1352.4 while maintaining the minimum balance; safe today: 1003.2.
request_258,1113.60,affordable_now,full_payment,2026-01-07:1113.60,2026-01-07,none,Plan full_payment completes 1113.60 while maintaining the minimum balance; safe today: 1113.60.
request_259,0,not_affordable,not_recommended,none,,none,Safe amount today is 0; the full amount is not safe within the requested plan.
request_260,14183500,not_affordable,not_recommended,none,,none,Safe amount today is 14183500; the full amount is not safe within the requested plan.
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.4,2026-07-03,reduce_to:event_24010:25.5,Plan full_payment completes 1830.4 while maintaining the minimum balance; safe today: 1830.4.
request_262,6629100,not_affordable,not_recommended,none,,none,Safe amount today is 6629100; the full amount is not safe within the requested plan.
request_263,0,not_affordable,not_recommended,none,,none,Safe amount today is 0; the full amount is not safe within the requested plan.
request_264,0,not_affordable,not_recommended,none,,none,Safe amount today is 0; the full amount is not safe within the requested plan.
request_265,45970,affordable_now,full_payment,2024-03-06:45970,2024-03-06,none,Plan full_payment completes 45970 while maintaining the minimum balance; safe today: 45970.
request_266,460.52,not_affordable,not_recommended,none,,none,Safe amount today is 460.52; the full amount is not safe within the requested plan.
request_267,731.38,not_affordable,not_recommended,none,,none,Safe amount today is 731.38; the full amount is not safe within the requested plan.
request_268,0,not_affordable,not_recommended,none,,none,Safe amount today is 0; the full amount is not safe within the requested plan.
request_269,0,not_affordable,not_recommended,none,,none,Safe amount today is 0; the full amount is not safe within the requested plan.
request_270,457.4,not_affordable,not_recommended,none,,none,Safe amount today is 457.4; the full amount is not safe within the requested plan.
request_271,0,not_affordable,not_recommended,none,,none,Safe amount today is 0; the full amount is not safe within the requested plan.
request_272,5935524,not_affordable,not_recommended,none,,none,Safe amount today is 5935524; the full amount is not safe within the requested plan.
request_273,0,not_affordable,not_recommended,none,,none,Safe amount today is 0; the full amount is not safe within the requested plan.
request_274,1606.51,not_affordable,not_recommended,none,,none,Safe amount today is 1606.51; the full amount is not safe within the requested plan.
request_275,9379350,not_affordable,not_recommended,none,,none,Safe amount today is 9379350; the full amount is not safe within the requested plan.
